sample_id,dataset_id,label_id,label_name,entity_key,start_line_no,end_line_no,total_records,error_cnt,warn_cnt,info_cnt,error_ratio,template_counts_json,keyword_counts_json,top_templates_json,error_examples_json
normal#11760334-ac63-4cc8-9086-578422af8c99,normal,0,normal,11760334-ac63-4cc8-9086-578422af8c99,2,87,18,0,0,18,0.0,"{""23c6f986"": 2, ""249a5a09"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7522cf11"": 1, ""7a2e00b4"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""f6e2af5a"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""f6e2af5a"", ""7522cf11"", ""4d69fb36""]",[]
normal#b9f0f7cd-31c1-4edf-9a8d-129d4efff387,normal,0,normal,b9f0f7cd-31c1-4edf-9a8d-129d4efff387,11,101,16,0,0,16,0.0,"{""23c6f986"": 1, ""363affc6"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""5cab6c03"": 1, ""7bb1bd13"": 1, ""808a3eec"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""e34e6ac7"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""e34e6ac7"", ""23c6f986"", ""fbd432b6"", ""5cab6c03"", ""fbe941c1"", ""4d69fb36""]",[]
normal#f52f599a-b2a2-478c-bcfe-9933528dd526,normal,0,normal,f52f599a-b2a2-478c-bcfe-9933528dd526,16,134,16,0,0,16,0.0,"{""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""690dadd5"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""8b459282"": 1, ""9a5bb79d"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""cc1801e6"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""690dadd5"", ""23c6f986"", ""fbd432b6"", ""fbe941c1"", ""9a5bb79d"", ""4d69fb36""]",[]
normal#7e95473d-7602-4e51-a383-19cddf7474cc,normal,0,normal,7e95473d-7602-4e51-a383-19cddf7474cc,26,146,17,0,0,17,0.0,"{""23c6f986"": 1, ""28d113ed"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""5c5a7e4b"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""964ddffb"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""ec5b0ac6"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""ec5b0ac6"", ""23c6f986"", ""fbd432b6"", ""fbe941c1"", ""28d113ed"", ""4d69fb36""]",[]
normal#9a6798ef-bdaa-43eb-b486-499725a86d73,normal,0,normal,9a6798ef-bdaa-43eb-b486-499725a86d73,35,172,16,0,0,16,0.0,"{""204951fa"": 1, ""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""493f1662"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""c98479b5"": 1, ""dba0ef39"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""dba0ef39"", ""23c6f986"", ""fbd432b6"", ""fbe941c1"", ""493f1662"", ""4d69fb36""]",[]
normal#18027701-58cc-4bff-8b0f-afefbf093d3d,normal,0,normal,18027701-58cc-4bff-8b0f-afefbf093d3d,38,192,16,0,0,16,0.0,"{""046a9f8f"": 1, ""23c6f986"": 1, ""32af9403"": 1, ""345ecb8d"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""becfa9bd"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""046a9f8f"", ""23c6f986"", ""fbd432b6"", ""32af9403"", ""fbe941c1"", ""4d69fb36""]",[]
normal#7917c8e7-bd58-49a9-9200-7d5bf89538b3,normal,0,normal,7917c8e7-bd58-49a9-9200-7d5bf89538b3,48,215,17,0,0,17,0.0,"{""1ed6e911"": 1, ""23c6f986"": 1, ""3cd992b7"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""b7bf71ae"": 1, ""bce59009"": 1, ""c0ae40cc"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""1ed6e911"", ""23c6f986"", ""fbd432b6"", ""fbe941c1"", ""b7bf71ae"", ""4d69fb36""]",[]
normal#506a23f5-6cec-4d64-abf8-16e017154255,normal,0,normal,506a23f5-6cec-4d64-abf8-16e017154255,57,237,16,0,0,16,0.0,"{""23c6f986"": 1, ""3dde227c"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""853fedd5"": 1, ""86e61357"": 1, ""991f3016"": 1, ""9ce74851"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""23c6f986"", ""fbe941c1"", ""af8954af"", ""3dde227c"", ""9ce74851"", ""4d69fb36""]",[]
normal#a306719a-537e-42b3-9073-bfb4600d072e,normal,0,normal,a306719a-537e-42b3-9073-bfb4600d072e,61,259,17,0,0,17,0.0,"{""14138680"": 1, ""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""9e689a3c"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""db72285a"": 1, ""f97c1aea"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""23c6f986"", ""fbe941c1"", ""af8954af"", ""f97c1aea"", ""14138680"", ""4d69fb36""]",[]
normal#02915417-a4bb-47e6-ae34-668f770451bf,normal,0,normal,02915417-a4bb-47e6-ae34-668f770451bf,85,279,17,0,0,17,0.0,"{""23c6f986"": 2, ""3e1e90d9"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""71f103ed"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""8c724cb8"": 1, ""9559f25c"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""9559f25c"", ""71f103ed"", ""4d69fb36""]",[]
